country_id,year,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption
122,2019,4.286,0.336,1.033,0.532,0.344,0.209,0.1
101,2019,4.212,0.811,1.149,0.0,0.313,0.074,0.135
141,2019,4.189,0.332,1.069,0.443,0.356,0.252,0.06
135,2019,4.166,0.913,1.039,0.644,0.241,0.076,0.067
85,2019,4.107,0.578,1.058,0.426,0.431,0.247,0.087
158,2019,4.085,0.275,0.572,0.41,0.293,0.177,0.085
117,2019,4.015,0.755,0.765,0.588,0.498,0.2,0.085
116,2019,3.975,0.073,0.922,0.443,0.37,0.233,0.033
140,2019,3.973,0.274,0.757,0.505,0.142,0.275,0.078
147,2019,3.933,0.274,0.916,0.555,0.148,0.169,0.041
97,2019,3.802,0.489,1.169,0.168,0.359,0.107,0.093
157,2019,3.775,0.046,0.447,0.38,0.22,0.176,0.18
115,2019,3.663,0.366,1.114,0.433,0.361,0.151,0.089
119,2019,3.597,0.323,0.688,0.449,0.026,0.419,0.11
128,2019,3.488,1.041,1.145,0.538,0.455,0.025,0.1
156,2019,3.462,0.619,0.378,0.44,0.013,0.331,0.141
131,2019,3.41,0.191,0.56,0.495,0.443,0.218,0.089
136,2019,3.38,0.287,1.163,0.463,0.143,0.108,0.077
154,2019,3.334,0.359,0.711,0.614,0.555,0.217,0.411
146,2019,3.231,0.476,0.885,0.499,0.417,0.276,0.147
153,2019,3.203,0.35,0.517,0.361,0.0,0.158,0.025
148,2019,3.083,0.026,0.0,0.105,0.225,0.235,0.035
164,2019,2.853,0.306,0.575,0.295,0.01,0.202,0.091
